age,education_num,hours_per_week,occupation_prestige,sex,income_high
17,12,36,0.208,1,1
33,10,39,0.228,0,1
38,13,39,0.607,1,0
17,10,16,0.287,0,0
34,13,34,0.435,1,1
29,5,47,0.642,1,0
38,12,40,0.711,1,1
58,13,39,0.319,0,0
49,4,20,0.489,0,0
20,11,38,0.47,1,1
17,13,23,0.109,0,0
18,9,39,0.412,1,0
25,11,36,0.567,1,1
39,12,31,0.273,0,0
42,12,57,0.502,1,0
36,10,24,0.856,0,0
21,14,41,0.126,0,1
39,5,34,0.31,0,0
58,11,30,0.459,1,0
31,7,18,0.609,0,0
54,11,33,0.363,0,0
33,9,23,0.627,0,0
25,9,14,0.507,1,0
37,9,40,0.126,0,0
59,13,21,0.591,0,1
51,8,37,0.853,0,0
33,12,22,0.553,1,0
45,13,14,0.215,0,0
37,9,46,0.402,0,1
34,13,33,0.552,0,1
54,12,41,0.431,1,1
17,12,43,0.539,1,1
36,11,27,0.644,0,0
40,12,39,0.491,0,1
45,9,25,0.836,1,1
32,14,35,0.358,1,0
49,16,41,0.494,1,1
41,8,48,0.389,0,0
17,13,34,0.787,1,1
26,8,32,0.601,0,0
18,11,52,0.538,1,1
49,10,50,0.336,1,0
32,10,50,0.507,0,1
30,12,46,0.803,1,0
32,7,32,0.506,0,0
28,16,40,0.474,1,1
27,12,39,0.183,0,1
40,14,27,0.645,1,1
21,10,42,0.397,0,0
40,10,47,0.559,1,0
41,15,45,0.613,1,0
61,12,33,0.384,1,1
29,10,36,0.3,0,0
63,12,35,0.475,1,0
75,9,45,0.265,1,1
48,13,38,0.582,1,0
31,9,44,0.294,0,0
35,11,37,0.844,1,1
37,10,41,0.327,1,0
44,7,32,0.73,1,1
27,10,31,0.377,1,1
39,13,47,0.355,1,0
31,8,43,0.129,0,1
23,15,37,0.572,1,1
30,12,34,0.516,1,0
51,8,43,0.318,1,1
50,13,43,0.153,0,1
43,11,33,0.623,1,0
21,10,40,0.441,0,0
17,13,33,0.389,1,0
45,9,39,0.694,1,0
60,12,40,0.603,1,0
35,12,38,0.096,0,1
49,11,48,0.652,1,1
43,12,50,0.368,1,1
26,9,15,0.28,0,1
36,10,41,0.685,1,1
24,10,47,0.354,0,0
36,11,51,0.419,1,1
48,9,49,0.257,0,0
34,14,39,0.467,1,1
44,10,35,0.386,1,0
50,16,43,0.231,1,0
27,10,31,0.535,1,1
48,8,32,0.485,1,0
25,8,24,0.511,0,0
80,10,36,0.092,0,0
47,9,58,0.533,1,0
40,7,45,0.165,0,0
44,9,45,0.571,1,1
19,12,48,0.279,1,0
69,16,39,0.668,1,1
22,8,40,0.461,1,0
35,11,32,0.336,0,1
49,9,36,0.311,0,0
17,10,58,0.495,1,1
47,11,50,0.373,1,0
37,11,57,0.45,0,0
47,12,32,0.481,0,0
42,12,37,0.662,1,1
61,11,48,0.37,1,0
59,11,41,0.256,0,0
42,6,50,0.799,1,0
38,11,52,0.469,1,1
48,9,31,0.278,0,0
46,8,26,0.242,0,0
36,10,46,0.724,1,1
38,7,34,0.522,0,0
17,6,52,0.105,0,0
46,9,32,0.489,0,0
38,9,30,0.728,0,0
18,11,24,0.74,1,0
27,11,46,0.657,1,1
17,5,44,0.557,0,0
17,7,43,0.391,0,0
43,8,33,0.413,1,0
29,10,39,0.775,1,0
40,8,45,0.429,0,0
30,12,41,0.823,1,0
34,12,36,0.926,1,1
43,14,61,0.217,1,1
29,12,34,0.534,1,0
51,11,43,0.626,1,1
32,4,54,0.472,1,0
52,8,41,0.496,0,1
39,7,51,0.484,1,0
24,11,51,0.605,1,0
28,15,33,0.329,0,1
53,13,37,0.154,0,1
48,5,48,0.331,1,0
17,8,39,0.481,1,0
17,15,47,0.521,1,1
36,14,14,0.501,0,1
48,12,39,0.605,1,1
17,10,40,0.67,1,0
17,12,40,0.696,1,1
34,12,18,0.264,0,0
24,10,32,0.631,1,1
32,11,50,0.454,1,1
41,9,37,0.321,0,0
39,11,50,0.612,1,0
40,11,53,0.598,1,1
34,13,27,0.591,1,0
19,10,43,0.317,0,0
62,10,41,0.563,1,1
40,15,58,0.604,1,1
17,6,18,0.407,0,0
34,11,41,0.777,1,1
52,8,58,0.331,0,0
47,14,32,0.367,0,1
31,5,36,1.0,0,1
32,12,12,0.206,1,1
33,11,59,0.579,1,0
35,13,41,0.541,1,1
46,6,40,0.292,0,0
52,12,41,0.68,1,1
40,10,47,0.331,1,1
17,9,39,0.444,1,0
58,9,49,0.504,0,1
42,13,46,0.598,1,1
46,9,51,0.578,0,1
36,13,62,0.693,1,0
24,11,62,0.852,1,1
37,13,48,0.304,0,0
49,8,32,0.752,1,1
31,16,33,0.484,1,0
59,16,38,0.803,1,1
17,12,54,0.505,0,1
36,12,47,0.909,1,1
46,10,37,0.286,0,0
23,12,75,0.586,1,0
18,10,34,0.499,0,0
22,9,40,0.4,0,0
47,10,34,0.96,1,1
34,9,15,0.006,0,0
38,11,33,0.861,1,0
75,9,33,0.64,1,0
42,11,25,0.215,0,0
49,9,54,0.855,1,1
31,7,56,0.247,0,1
31,12,61,0.701,1,0
51,7,34,0.671,1,0
66,11,50,0.531,0,0
32,10,45,0.378,0,0
17,10,51,0.676,1,0
53,11,29,0.568,1,0
49,13,35,0.63,0,1
44,12,46,0.645,1,1
20,7,14,0.274,0,0
44,13,29,0.427,0,1
30,13,20,0.427,0,0
73,11,60,0.445,1,1
31,9,46,0.45,0,0
55,10,73,0.543,1,1
45,12,34,0.792,1,1
28,11,53,0.398,1,0
28,13,50,0.567,1,0
59,11,46,0.686,1,1
20,9,28,0.452,1,0
33,8,46,0.59,1,0
31,10,49,0.446,0,0
48,11,41,0.387,0,1
45,8,41,0.563,1,0
17,8,40,0.711,0,0
50,10,30,0.453,0,0
41,11,49,0.284,0,0
17,11,38,0.75,0,1
17,10,44,0.677,1,0
53,12,32,0.675,0,1
57,9,30,0.234,0,0
59,13,60,0.456,1,1
42,5,38,0.152,0,0
60,15,21,0.301,0,0
31,16,41,0.641,1,1
41,7,57,0.45,0,1
19,8,26,0.642,0,0
27,9,26,0.477,1,0
45,8,36,0.497,0,1
59,14,28,0.254,1,0
47,13,59,0.243,1,1
42,13,55,0.551,1,0
27,6,65,0.728,1,1
36,12,52,0.748,1,1
32,11,31,0.529,1,1
58,10,39,0.445,1,1
19,11,54,0.512,1,0
32,11,51,0.58,1,1
43,10,39,0.392,0,0
41,10,40,0.347,0,0
31,6,47,0.345,0,0
37,11,51,0.262,0,0
32,9,39,0.498,1,0
28,13,37,0.862,1,1
37,10,42,0.421,0,0
17,15,40,0.645,1,0
43,12,41,0.38,0,0
48,16,34,0.577,1,1
25,13,22,0.521,0,1
30,10,37,0.507,0,1
26,10,36,0.431,1,1
31,13,63,0.668,1,1
17,13,58,0.305,1,1
39,14,38,0.486,0,1
36,10,51,0.84,1,0
37,10,50,0.708,1,1
32,15,38,0.381,1,0
21,13,44,0.365,0,0
37,7,55,0.35,1,0
43,13,27,0.737,1,0
30,11,36,0.44,0,0
46,11,23,0.396,1,1
24,14,42,0.869,1,1
52,8,34,0.58,0,1
49,12,48,0.35,1,0
17,16,31,0.476,0,0
35,14,39,0.567,1,0
51,5,55,0.751,1,1
21,10,49,0.238,0,0
42,13,42,0.651,1,0
45,13,44,0.492,1,0
39,11,35,0.298,0,1
45,9,35,0.491,1,0
36,9,42,0.676,1,0
42,12,41,0.467,1,1
37,14,47,0.794,1,1
34,11,42,0.06,0,0
42,11,48,0.333,0,0
33,10,34,0.151,1,1
25,11,41,0.481,1,0
48,10,44,0.658,1,1
50,11,37,0.603,1,1
50,16,40,0.218,0,1
39,15,43,0.708,0,1
44,12,36,0.823,1,0
50,13,35,0.698,1,1
32,12,16,0.651,1,0
50,11,43,0.741,1,1
50,9,54,0.574,1,0
60,11,18,0.519,1,1
44,9,57,0.155,0,0
39,8,31,0.108,0,0
19,15,44,0.541,1,1
20,14,47,0.713,1,1
42,14,36,0.322,0,0
26,14,37,0.365,1,1
17,13,48,0.435,1,0
22,13,33,0.576,0,0
52,11,35,0.617,0,0
26,12,43,0.52,1,0
35,10,29,0.516,1,0
49,11,39,0.478,0,1
43,12,41,0.474,1,0
45,14,44,0.698,1,1
31,16,50,0.602,1,1
46,8,50,0.481,1,0
26,11,42,0.701,1,0
54,15,43,0.376,1,1
41,10,28,0.311,1,0
29,11,39,0.199,0,0
61,12,39,0.765,1,1
34,12,27,0.466,1,0
44,10,59,0.608,1,1
28,16,26,0.275,1,1
32,11,52,0.415,0,1
29,7,25,0.572,1,0
38,16,56,0.431,0,1
35,7,31,0.526,1,0
45,10,55,0.22,1,1
35,10,52,0.766,1,1
28,16,42,0.742,1,1
29,6,62,0.439,1,0
53,12,27,0.373,1,0
17,10,47,0.419,0,0
54,10,60,0.325,1,0
22,12,37,0.181,0,1
53,11,41,0.471,0,0
17,7,33,0.695,1,0
45,11,57,0.477,1,0
39,8,35,0.762,0,0
47,9,37,0.579,0,0
41,12,37,0.204,0,0
49,8,31,0.577,0,0
27,11,34,0.302,0,0
57,7,62,0.471,0,0
20,8,24,0.386,0,1
72,11,51,0.481,1,1
29,6,37,0.495,0,0
39,11,26,0.471,1,1
27,13,62,0.491,1,1
37,14,36,0.551,1,0
22,11,66,0.684,1,1
44,9,36,0.38,0,0
41,8,23,0.331,1,0
43,12,35,0.486,1,1
54,11,42,0.715,1,1
41,9,31,0.388,0,0
46,14,42,0.489,1,0
42,11,54,0.662,0,1
30,13,58,0.657,1,1
59,15,50,0.368,1,1
56,10,53,0.516,0,1
51,14,45,0.318,0,0
21,7,31,0.586,0,0
39,10,39,0.399,1,0
30,10,42,0.617,0,0
40,12,40,0.171,0,0
35,7,43,0.469,0,0
34,12,26,0.267,0,0
42,8,42,0.636,1,0
43,8,60,0.478,1,1
46,13,57,0.484,1,0
55,15,32,0.985,1,1
75,6,29,0.278,0,0
37,9,26,0.484,1,1
60,13,44,0.513,1,1
31,16,36,0.764,1,1
24,13,29,0.427,0,0
39,8,43,0.321,0,0
48,10,21,0.246,1,1
31,8,17,0.676,1,0
25,14,30,0.331,1,0
47,11,40,1.0,1,0
42,9,41,0.435,0,0
24,9,49,0.574,1,0
44,12,31,0.354,0,0
46,9,50,1.0,1,0
42,11,47,0.746,1,1
44,14,37,0.378,1,0
44,12,40,0.574,1,1
44,12,46,0.262,0,1
50,9,56,0.643,0,0
48,8,34,0.544,1,0
55,10,27,0.493,0,1
33,9,40,0.567,0,0
35,15,21,0.328,1,0
23,12,45,0.601,0,1
32,9,30,0.575,1,0
34,7,54,0.625,1,0
25,13,52,0.694,1,1
46,13,41,0.447,1,1
32,8,44,0.306,0,0
61,6,44,0.321,0,1
44,10,33,0.362,0,0
38,11,36,0.312,1,0
41,10,70,0.289,1,1
32,14,51,0.493,1,0
57,7,46,0.464,0,1
59,16,46,0.788,1,0
51,12,28,0.209,1,0
46,10,36,0.664,0,0
33,9,40,0.568,0,0
22,10,45,0.59,1,0
33,13,48,0.539,1,1
67,13,52,0.869,1,1
29,11,32,0.517,0,0
36,10,26,0.319,1,0
44,9,30,0.404,1,0
56,15,53,0.476,1,1
49,7,34,0.551,1,1
40,10,45,0.39,0,1
61,15,38,0.673,1,1
44,10,56,0.482,1,1
29,11,41,0.257,1,0
21,9,36,0.711,1,0
26,14,21,0.664,1,1
48,13,39,0.292,0,0
66,8,42,0.424,0,0
54,11,52,0.489,1,0
35,8,41,0.457,1,0
44,9,59,0.659,1,0
17,9,34,0.556,1,0
25,14,50,0.729,1,1
59,10,48,0.601,1,1
59,15,47,0.359,1,0
30,13,55,0.609,1,1
45,12,23,0.362,0,1
72,16,28,0.44,1,1
43,11,41,0.752,1,1
43,15,25,0.699,1,0
52,13,50,0.609,1,1
28,16,46,0.21,1,1
17,13,50,0.751,1,0
17,12,43,0.689,1,0
41,9,39,0.681,1,0
24,14,39,0.685,1,0
26,6,51,0.579,1,0
53,12,40,0.5,1,1
35,12,56,0.0,0,0
32,14,54,0.18,1,1
49,11,38,0.395,0,0
53,11,45,0.385,1,0
20,13,37,0.64,0,0
60,13,31,0.419,0,1
32,14,66,0.369,1,1
42,9,35,0.27,1,1
42,10,22,0.685,1,0
40,13,33,0.667,1,0
45,10,60,0.197,0,0
28,7,36,0.762,0,0
25,10,28,0.239,0,0
37,16,40,0.607,1,0
34,13,33,0.584,1,0
30,9,35,0.295,0,0
46,14,49,0.404,1,1
37,7,29,0.516,1,0
48,6,39,0.373,0,0
48,10,42,0.213,1,0
51,15,37,0.359,0,1
43,9,61,0.489,1,0
36,16,57,0.855,1,1
23,7,39,0.521,1,1
49,11,17,0.621,1,1
42,9,39,0.741,1,1
35,13,36,0.691,1,0
19,12,35,0.768,1,1
35,12,30,0.169,0,1
39,14,37,0.356,1,1
33,12,32,0.434,1,0
44,10,26,0.463,0,0
29,8,28,0.602,1,1
35,9,33,0.111,0,0
33,8,55,0.269,0,0
49,12,42,0.311,0,0
47,13,64,0.473,1,1
21,15,39,0.759,1,0
24,11,36,0.545,1,0
40,14,51,0.567,1,0
39,10,53,0.249,1,0
33,12,45,0.604,1,1
39,11,45,0.299,0,0
61,16,19,0.529,0,1
17,15,56,0.516,1,1
30,6,47,0.542,1,0
33,8,59,0.558,1,0
35,9,39,0.201,0,0
27,14,42,0.615,1,1
29,12,50,0.596,1,0
43,9,41,0.463,0,1
34,7,39,0.874,1,0
37,12,34,0.263,0,0
46,12,45,0.935,1,1
42,10,44,0.517,1,1
51,10,40,0.61,1,1
39,12,55,0.324,1,1
17,8,49,0.794,1,1
54,10,39,0.758,1,1
18,9,15,0.195,0,1
17,14,45,0.252,1,0
51,8,52,0.376,0,0
31,8,45,0.497,1,1
42,11,63,0.543,1,1
50,11,43,0.383,0,1
52,9,23,0.348,1,1
22,10,44,0.576,1,1
59,10,52,0.763,1,1
44,10,60,0.459,1,0
19,11,36,1.0,1,1
35,12,40,0.694,1,1
17,11,34,0.025,0,0
34,12,36,0.531,1,0
45,13,41,0.524,1,1
42,12,45,0.489,1,0
25,9,39,0.476,1,0
27,14,42,0.646,1,1
47,13,34,0.645,1,1
43,11,58,0.41,1,0
31,7,27,0.04,0,0
46,15,24,0.602,1,0
35,10,43,0.453,1,0
33,12,41,0.41,1,1
45,11,70,0.55,1,1
34,5,26,0.592,1,0
49,15,44,0.491,1,1
43,8,60,0.796,1,1
55,8,43,0.6,0,0
24,11,47,0.154,0,1
21,9,38,0.374,1,1
41,13,43,0.441,1,1
17,13,50,0.369,1,1
55,10,50,0.319,1,0
40,8,41,0.632,0,0
30,14,50,0.32,1,0
49,12,36,0.541,0,0
22,15,39,0.418,1,1
47,11,33,0.172,0,1
53,13,27,0.494,1,1
43,10,46,0.202,0,0
40,8,51,0.102,1,0
49,14,48,0.624,0,0
34,10,49,0.562,1,0
34,10,46,0.723,1,1
53,7,40,0.462,0,1
52,9,42,0.597,0,0
44,10,38,0.347,1,0
38,9,44,0.633,0,0
47,4,26,0.513,1,0
47,16,59,0.408,1,0
17,16,49,0.528,1,0
31,12,26,0.639,1,1
50,13,37,0.676,1,1
25,10,47,0.331,1,0
34,11,35,0.724,1,1
55,11,59,0.571,1,1
33,15,48,0.805,1,1
66,13,56,0.521,1,1
31,15,30,0.544,1,1
59,10,33,0.426,0,0
24,13,36,0.495,1,0
35,13,41,0.89,1,1
38,6,16,0.498,0,0
37,13,23,0.43,1,0
38,11,46,0.66,1,1
36,12,42,0.606,1,1
30,11,41,0.798,1,0
30,14,42,0.523,0,1
30,9,52,0.099,1,0
39,11,45,0.603,0,1
33,16,43,0.352,1,0
25,11,25,0.32,0,1
43,11,35,0.467,0,0
58,16,53,0.564,1,1
47,12,36,0.256,0,1
23,11,54,0.473,1,0
26,13,39,0.567,1,0
38,9,43,0.344,1,0
43,12,12,0.36,0,0
53,11,56,0.29,1,0
52,13,42,0.839,1,0
24,10,52,0.779,1,0
26,4,21,0.513,0,0
50,10,41,0.829,1,1
39,13,32,0.574,1,1
36,7,33,0.125,0,0
34,16,46,0.735,1,1
37,7,21,0.257,0,1
29,5,39,0.433,1,0
32,10,53,0.647,0,1
60,13,52,0.392,1,1
51,13,55,0.598,1,0
23,16,24,0.508,1,0
42,9,46,0.427,1,0
34,9,48,0.579,1,0
46,6,24,0.084,0,1
23,11,37,0.0,1,0
52,8,30,0.175,0,0
44,15,30,0.463,0,1
30,13,43,0.389,1,0
39,9,29,0.446,1,1
45,5,43,0.865,1,1
24,14,48,0.623,1,0
50,10,40,0.346,0,0
34,10,47,0.393,1,1
32,8,46,0.574,0,0
21,9,44,1.0,1,1
57,15,65,0.525,1,1
36,14,65,0.441,1,1
34,9,35,0.567,1,0
43,10,37,0.355,1,1
41,10,35,0.055,1,0
52,13,41,0.351,1,0
21,5,18,0.459,0,0
42,7,49,0.472,1,1
43,5,51,0.566,0,0
53,10,45,0.408,1,0
34,15,63,0.735,1,1
40,11,48,0.301,1,1
25,14,25,0.192,1,0
38,13,43,0.553,1,1
48,13,54,0.425,1,1
49,11,43,0.416,0,0
48,11,48,0.732,1,1
65,12,64,0.229,1,1
37,9,46,0.388,0,1
57,10,57,0.834,1,1
42,13,33,0.465,1,0
33,13,51,0.058,1,0
60,10,26,0.467,0,1
49,11,38,0.273,0,0
51,12,46,0.161,0,1
29,12,53,0.364,1,0
24,14,36,0.496,1,0
26,14,42,0.423,1,1
26,14,42,0.713,1,0
31,7,20,0.126,0,0
43,11,21,0.661,1,0
63,13,30,0.689,1,1
60,15,55,0.369,0,1
55,13,44,0.443,1,0
38,11,36,0.434,0,1
38,9,61,0.381,1,1
43,11,26,0.717,0,0
55,12,50,0.734,1,1
17,11,34,0.582,0,1
43,15,38,0.806,1,1
44,16,39,0.473,1,1
45,11,50,0.455,1,1
33,10,39,0.313,0,0
22,13,39,0.512,1,0
42,14,37,0.456,1,1
57,9,37,0.446,1,0
23,10,56,0.078,0,0
34,15,42,0.315,1,0
26,12,25,0.234,0,0
59,12,41,0.38,1,0
29,11,33,0.457,0,0
46,6,43,0.359,0,1
17,10,43,0.39,0,1
37,7,42,0.376,0,0
59,9,27,0.19,0,0
56,6,46,0.974,1,1
23,13,33,0.617,1,1
62,8,39,0.898,1,1
35,11,46,0.771,1,1
35,12,69,0.749,1,0
43,14,47,0.517,1,1
17,12,33,0.492,0,0
40,7,37,0.528,0,0
42,11,39,0.795,1,1
50,12,52,0.578,1,1
30,16,42,0.356,1,1
33,9,25,0.018,0,0
20,7,48,0.77,1,0
40,7,17,0.33,0,0
52,14,52,1.0,1,1
57,11,35,0.816,0,1
48,12,63,0.862,1,0
49,8,35,0.361,0,0
44,12,45,0.665,1,1
43,10,33,0.403,1,0
49,14,17,0.714,0,1
27,11,46,0.683,1,1
69,8,66,0.453,1,1
26,8,28,0.446,1,0
68,10,29,0.813,1,1
53,11,10,0.848,1,1
57,8,48,0.701,0,0
43,10,39,0.48,0,1
47,13,40,0.3,1,1
34,11,49,0.42,0,1
31,12,42,0.436,1,0
28,11,34,0.68,1,0
56,8,21,0.233,0,1
52,8,33,0.405,0,0
36,9,31,0.058,0,0
37,12,27,0.329,1,0
49,8,43,0.633,0,0
32,10,35,0.886,1,0
28,11,52,0.333,1,0
39,9,26,0.644,0,1
58,13,43,0.448,0,1
45,14,51,0.637,1,1
58,16,35,0.78,1,1
33,12,14,0.601,0,1
52,13,26,0.69,0,0
41,13,51,0.81,1,1
42,8,26,0.411,0,0
34,13,36,0.464,1,0
67,12,34,0.231,0,1
20,5,28,0.702,0,0
40,12,56,0.626,1,0
20,12,42,0.308,1,0
33,13,30,0.426,1,1
52,13,55,0.55,1,0
33,13,16,0.264,0,0
41,10,40,0.485,1,0
20,10,55,0.604,1,1
51,11,36,0.203,1,0
46,8,40,0.526,1,0
56,14,25,0.697,1,1
30,11,51,0.82,1,1
53,13,45,0.606,1,0
44,16,47,0.606,1,0
31,14,49,0.197,0,0
35,10,39,0.572,1,0
58,7,30,0.469,1,0
49,12,38,0.735,1,0
33,8,59,0.994,0,0
18,14,55,0.612,1,1
42,12,25,0.781,1,0
52,13,35,0.682,1,0
27,6,44,0.278,0,0
67,11,55,0.679,1,1
75,11,67,0.67,1,1
46,14,40,0.552,1,1
27,6,37,0.624,0,0
34,12,45,0.458,1,1
19,13,46,0.672,1,1
36,13,53,0.77,1,1
37,12,26,0.613,1,0
22,13,40,0.447,0,0
17,10,34,0.075,0,0
32,12,58,0.746,1,1
31,13,32,0.739,1,0
50,9,31,0.694,0,0
34,11,30,0.066,0,1
46,12,14,0.455,1,0
17,15,59,0.494,1,0
41,11,41,0.495,1,0
48,16,60,0.741,1,0
40,9,51,0.562,1,0
40,9,44,0.521,1,0
32,7,26,0.563,1,0
45,7,53,0.229,0,0
43,10,45,0.628,1,0
23,12,29,0.465,1,0
33,16,43,0.477,1,1
37,13,41,0.522,1,0
39,6,45,0.402,0,0
34,10,25,0.781,1,1
37,5,36,0.306,0,0
37,8,41,0.576,1,0
33,10,35,0.594,1,1
42,13,35,0.768,1,0
17,8,48,0.387,0,0
25,8,43,0.58,1,0
43,14,53,0.57,1,1
27,10,36,0.749,1,0
21,10,44,0.554,1,0
42,9,44,0.335,0,0
44,11,45,0.036,1,0
39,7,51,0.238,0,0
26,9,40,0.309,0,1
17,11,53,0.71,1,1
36,14,48,0.686,1,0
49,16,50,0.744,1,1
41,12,18,0.443,0,1
41,7,47,0.365,1,0
61,11,29,0.484,1,1
29,10,61,0.423,1,0
35,11,45,0.178,0,0
38,13,51,0.458,1,0
37,11,47,0.409,1,0
21,10,32,0.195,1,1
17,14,44,0.295,1,0
61,13,38,0.718,1,1
35,11,37,0.379,0,1
22,13,32,0.406,0,0
37,5,15,0.355,0,0
53,9,45,0.91,1,0
38,10,34,0.574,0,0
35,13,45,0.327,1,1
44,6,46,0.563,1,1
17,14,37,0.293,0,0
38,10,36,0.787,1,0
24,14,27,0.663,0,1
36,12,52,0.671,1,1
24,9,30,0.5,1,0
38,13,69,0.605,1,1
23,13,50,0.61,1,0
54,12,34,0.556,1,1
27,11,53,0.443,1,0
55,16,45,0.408,1,1
46,15,49,0.294,1,1
17,12,40,0.463,1,1
26,8,58,0.355,0,0
63,8,16,0.629,0,0
43,11,41,0.502,1,1
29,12,20,0.434,0,0
43,15,47,0.791,1,1
30,14,12,0.477,0,0
18,11,33,0.35,0,0
37,12,31,0.194,0,0
69,12,24,0.77,1,1
31,13,38,0.386,1,1
31,9,34,0.502,1,0
17,12,48,0.702,1,1
32,11,29,0.621,0,1
46,9,25,0.328,0,0
36,14,43,0.82,1,1
32,9,56,0.641,1,1
48,8,32,0.499,0,0
31,13,29,0.33,0,0
55,11,52,0.531,0,0
35,8,19,0.528,0,0
34,12,32,0.449,1,0
33,7,47,0.542,1,0
35,9,53,0.361,1,0
28,12,58,0.548,0,1
17,13,37,0.246,1,0
17,11,29,0.513,0,0
67,11,32,0.722,1,1
39,10,47,0.64,1,1
48,12,43,0.736,1,0
30,10,48,0.515,1,1
34,14,46,0.727,1,0
64,14,33,0.528,0,1
43,9,38,0.416,1,0
52,13,47,0.658,1,0
40,12,61,0.644,1,1
54,11,33,0.248,0,1
54,11,17,0.407,0,0
45,15,69,0.426,1,1
20,11,41,0.56,0,0
53,11,40,0.464,1,1
29,8,44,0.653,0,0
25,9,28,0.318,0,0
43,11,45,0.555,1,1
65,13,32,0.612,1,1
27,8,51,0.588,1,1
17,16,44,0.365,1,0
50,13,24,0.343,0,0
38,9,53,0.292,1,0
30,12,30,0.549,0,1
17,14,29,0.726,1,0
33,12,39,0.574,1,0
60,9,50,0.696,1,0
57,15,51,0.324,1,0
63,11,57,0.488,1,1
35,13,49,0.246,1,1
26,7,52,0.567,1,0
54,12,42,0.597,1,1
36,8,29,0.334,1,0
27,12,48,0.565,1,0
68,11,42,0.182,1,1
39,13,42,0.558,1,0
23,12,61,0.617,1,1
55,11,51,0.301,0,0
33,11,28,0.245,0,0
48,12,62,0.659,1,1
37,12,22,0.528,0,1
40,15,44,0.547,1,0
34,8,40,0.54,0,0
56,10,43,0.552,1,1
45,10,73,0.461,1,0
38,10,55,0.581,1,0
61,12,53,1.0,1,0
60,12,51,0.643,1,1
24,12,55,0.537,1,0
22,11,53,0.434,0,0
42,15,38,0.622,0,0
34,8,28,0.246,0,0
32,7,29,0.51,0,0
27,15,44,0.566,1,1
59,10,35,0.696,1,1
59,13,36,0.325,0,0
42,13,43,0.365,1,1
35,15,44,0.472,1,1
42,15,44,0.25,1,0
39,11,45,0.462,1,1
41,11,42,0.846,1,0
19,9,26,0.11,0,0
26,10,37,0.31,1,1
34,14,48,0.43,0,0
38,12,54,0.714,1,0
55,15,31,0.838,1,0
38,7,40,0.411,0,0
37,10,47,0.827,1,1
53,9,56,0.474,1,1
42,12,51,0.352,0,1
39,15,54,0.821,1,1
26,6,36,0.434,0,0
55,13,42,0.188,1,0
24,7,40,0.242,0,1
37,14,51,0.56,1,0
35,12,43,0.595,1,1
17,12,42,0.651,1,1
39,14,31,0.441,1,1
30,13,31,0.658,0,1
46,12,27,0.286,0,1
35,11,49,0.214,0,1
47,12,38,0.721,1,0
47,11,37,0.807,1,1
32,13,39,0.846,1,0
43,11,23,0.287,0,0
28,13,56,0.397,0,0
43,12,41,0.338,1,1
46,14,41,0.79,1,1
50,9,34,0.705,0,0
51,7,49,0.534,0,0
56,13,51,0.756,1,1
35,10,29,0.751,0,0
53,10,21,0.498,0,0
31,11,20,0.412,0,1
29,11,27,0.479,1,1
46,11,50,0.742,1,0
37,11,41,0.582,0,1
48,12,60,0.573,1,1
53,16,36,0.582,1,1
43,7,17,0.279,0,0
19,10,30,0.3,0,0
21,16,48,0.821,1,0
20,16,45,0.638,1,0
41,15,47,0.482,1,1
47,10,48,0.536,1,0
58,11,57,0.435,1,0
33,16,45,0.138,0,1
