age,education_years,hours_per_week,occupation,marital,sex,income_high
42,14,40,Education/Legal/Arts/Social,Married,0,1
20,12,45,Blue-collar (build/repair/prod/transport),Married,1,0
54,14,20,Education/Legal/Arts/Social,Divorced,0,0
56,14,5,Management/Business/Finance,Married,0,0
48,6,40,Blue-collar (build/repair/prod/transport),Married,0,0
18,11,3,Computing/Engineering/Science,Never married,0,1
23,16,40,Computing/Engineering/Science,Never married,0,1
38,14,45,Blue-collar (build/repair/prod/transport),Divorced,1,1
32,12,40,Sales,Never married,1,1
26,16,40,Computing/Engineering/Science,Never married,0,1
17,11,20,Education/Legal/Arts/Social,Never married,0,0
22,16,20,Office & Admin,Never married,0,0
24,16,50,Office & Admin,Never married,0,0
39,9,55,Service (food/clean/care/protective),Married,1,0
39,12,40,Blue-collar (build/repair/prod/transport),Married,0,1
51,18,40,Education/Legal/Arts/Social,Never married,0,0
23,14,40,Service (food/clean/care/protective),Never married,1,0
59,12,40,Service (food/clean/care/protective),Never married,1,0
19,12,55,Blue-collar (build/repair/prod/transport),Never married,1,0
35,11,32,Blue-collar (build/repair/prod/transport),Married,1,0
37,12,40,Blue-collar (build/repair/prod/transport),Married,1,1
32,12,35,Blue-collar (build/repair/prod/transport),Never married,1,0
36,0,40,Service (food/clean/care/protective),Married,0,0
40,16,40,Management/Business/Finance,Married,1,1
30,14,40,Office & Admin,Divorced,1,0
27,13,40,Blue-collar (build/repair/prod/transport),Married,1,0
72,16,14,Office & Admin,Separated,1,0
60,13,30,Office & Admin,Married,1,0
28,16,40,Office & Admin,Never married,1,0
25,16,40,Education/Legal/Arts/Social,Never married,0,0
53,16,60,Education/Legal/Arts/Social,Widowed,0,0
40,18,25,Sales,Never married,1,0
37,16,40,Management/Business/Finance,Married,1,1
40,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
51,16,40,Management/Business/Finance,Married,1,1
55,14,40,Management/Business/Finance,Married,0,1
61,14,40,Computing/Engineering/Science,Married,1,1
54,11,50,Service (food/clean/care/protective),Never married,0,0
20,14,40,Sales,Never married,0,0
45,16,40,Management/Business/Finance,Never married,0,1
55,18,40,Education/Legal/Arts/Social,Divorced,0,1
39,12,25,Service (food/clean/care/protective),Married,0,0
19,12,25,Service (food/clean/care/protective),Never married,0,0
69,16,34,Blue-collar (build/repair/prod/transport),Divorced,1,0
65,13,5,Education/Legal/Arts/Social,Never married,1,0
54,12,40,Healthcare,Married,1,0
39,16,50,Management/Business/Finance,Married,1,1
63,16,50,Management/Business/Finance,Widowed,1,1
48,18,55,Education/Legal/Arts/Social,Married,1,1
40,14,32,Sales,Separated,0,0
33,12,30,Service (food/clean/care/protective),Married,0,0
21,14,30,Blue-collar (build/repair/prod/transport),Never married,1,0
41,12,40,Blue-collar (build/repair/prod/transport),Never married,1,1
50,16,50,Sales,Married,1,1
53,14,27,Office & Admin,Married,0,0
43,13,40,Sales,Separated,0,0
34,16,50,Computing/Engineering/Science,Married,1,1
19,14,5,Office & Admin,Never married,0,0
36,16,60,Office & Admin,Married,1,0
62,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
47,12,40,Healthcare,Married,1,0
24,13,40,Healthcare,Never married,1,0
59,0,40,Office & Admin,Never married,0,0
30,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
60,12,65,Blue-collar (build/repair/prod/transport),Married,0,0
37,16,40,Education/Legal/Arts/Social,Married,0,1
30,16,10,Education/Legal/Arts/Social,Married,0,0
54,16,40,Computing/Engineering/Science,Married,0,1
41,14,60,Blue-collar (build/repair/prod/transport),Married,1,1
48,14,40,Education/Legal/Arts/Social,Married,0,0
30,13,60,Service (food/clean/care/protective),Never married,1,1
49,16,40,Computing/Engineering/Science,Never married,1,1
28,12,40,Education/Legal/Arts/Social,Never married,0,1
25,12,25,Blue-collar (build/repair/prod/transport),Separated,0,0
29,14,30,Healthcare,Never married,1,0
23,10,10,Blue-collar (build/repair/prod/transport),Never married,1,0
25,12,40,Blue-collar (build/repair/prod/transport),Never married,0,0
47,14,50,Blue-collar (build/repair/prod/transport),Married,1,0
63,13,3,Education/Legal/Arts/Social,Married,1,0
49,14,40,Blue-collar (build/repair/prod/transport),Divorced,1,0
50,16,20,Healthcare,Married,0,0
28,18,40,Education/Legal/Arts/Social,Married,0,1
46,18,40,Education/Legal/Arts/Social,Married,1,1
58,14,40,Office & Admin,Never married,0,1
48,14,52,Service (food/clean/care/protective),Married,1,1
43,18,40,Management/Business/Finance,Divorced,0,1
58,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
56,13,60,Education/Legal/Arts/Social,Never married,1,1
54,16,25,Management/Business/Finance,Married,0,0
20,14,40,Healthcare,Never married,1,0
32,16,40,Education/Legal/Arts/Social,Never married,0,0
32,18,40,Management/Business/Finance,Never married,0,0
32,12,40,Blue-collar (build/repair/prod/transport),Never married,0,0
55,13,50,Healthcare,Never married,1,0
33,16,50,Management/Business/Finance,Never married,0,1
20,14,40,Sales,Never married,1,0
26,14,40,Education/Legal/Arts/Social,Never married,1,0
39,16,16,Healthcare,Married,0,0
32,13,45,Blue-collar (build/repair/prod/transport),Never married,0,0
24,14,30,Office & Admin,Never married,0,0
53,8,38,Blue-collar (build/repair/prod/transport),Never married,0,0
45,16,40,Management/Business/Finance,Married,0,1
44,16,40,Management/Business/Finance,Married,1,1
17,11,20,Blue-collar (build/repair/prod/transport),Never married,0,0
28,14,40,Office & Admin,Married,0,0
50,12,40,Service (food/clean/care/protective),Married,1,0
40,12,40,Office & Admin,Never married,1,0
50,16,50,Education/Legal/Arts/Social,Married,0,1
27,16,40,Computing/Engineering/Science,Never married,0,1
47,16,42,Healthcare,Married,0,1
40,14,38,Management/Business/Finance,Never married,1,0
54,14,40,Service (food/clean/care/protective),Married,1,0
35,16,30,Healthcare,Married,0,1
43,19,40,Education/Legal/Arts/Social,Never married,1,1
30,12,50,Blue-collar (build/repair/prod/transport),Never married,1,0
77,11,40,Office & Admin,Never married,0,0
36,14,50,Blue-collar (build/repair/prod/transport),Married,1,1
24,16,32,Education/Legal/Arts/Social,Married,1,0
30,14,40,Blue-collar (build/repair/prod/transport),Never married,1,0
20,12,20,Blue-collar (build/repair/prod/transport),Married,1,0
39,19,40,Healthcare,Married,0,1
57,16,40,Blue-collar (build/repair/prod/transport),Married,1,1
49,12,45,Blue-collar (build/repair/prod/transport),Married,1,1
59,16,40,Management/Business/Finance,Married,0,1
28,19,40,Education/Legal/Arts/Social,Never married,1,1
26,16,40,Office & Admin,Never married,0,0
54,12,50,Management/Business/Finance,Separated,1,1
23,16,42,Healthcare,Never married,1,0
41,11,55,Blue-collar (build/repair/prod/transport),Married,1,1
63,3,40,Service (food/clean/care/protective),Married,1,0
45,14,40,Blue-collar (build/repair/prod/transport),Divorced,1,1
32,14,40,Office & Admin,Never married,0,0
57,16,40,Management/Business/Finance,Married,0,1
48,0,40,Blue-collar (build/repair/prod/transport),Married,0,0
26,14,5,Office & Admin,Never married,0,0
46,19,40,Computing/Engineering/Science,Never married,1,1
63,3,30,Blue-collar (build/repair/prod/transport),Married,1,0
49,14,50,Blue-collar (build/repair/prod/transport),Divorced,1,0
31,19,80,Healthcare,Married,0,0
61,18,32,Education/Legal/Arts/Social,Married,0,1
22,14,25,Sales,Never married,0,0
46,14,40,Office & Admin,Never married,0,0
25,16,40,Office & Admin,Never married,0,0
34,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
34,18,40,Management/Business/Finance,Married,0,1
40,6,40,Blue-collar (build/repair/prod/transport),Married,0,0
51,16,60,Management/Business/Finance,Never married,1,1
29,14,38,Sales,Never married,1,0
24,16,30,Sales,Never married,1,0
20,14,20,Service (food/clean/care/protective),Never married,0,0
29,14,60,Service (food/clean/care/protective),Never married,0,1
49,12,40,Office & Admin,Married,0,0
52,14,40,Blue-collar (build/repair/prod/transport),Married,1,1
25,12,40,Sales,Never married,1,0
36,14,48,Blue-collar (build/repair/prod/transport),Married,1,0
44,18,50,Management/Business/Finance,Married,1,1
24,18,40,Healthcare,Never married,1,0
54,18,40,Education/Legal/Arts/Social,Married,0,1
39,18,80,Education/Legal/Arts/Social,Married,1,1
25,16,25,Healthcare,Never married,1,0
67,14,10,Service (food/clean/care/protective),Married,0,0
23,12,50,Sales,Married,1,0
45,12,40,Service (food/clean/care/protective),Married,1,0
58,16,40,Computing/Engineering/Science,Married,1,1
45,13,40,Office & Admin,Married,1,0
59,14,20,Office & Admin,Married,0,0
26,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
56,18,45,Education/Legal/Arts/Social,Married,1,1
50,19,55,Education/Legal/Arts/Social,Married,1,1
48,14,45,Service (food/clean/care/protective),Married,1,1
66,18,5,Office & Admin,Widowed,1,0
51,12,30,Service (food/clean/care/protective),Married,0,0
65,11,40,Blue-collar (build/repair/prod/transport),Married,1,0
59,14,32,Office & Admin,Married,0,0
52,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
53,14,40,Blue-collar (build/repair/prod/transport),Divorced,1,0
17,12,5,Service (food/clean/care/protective),Never married,1,0
45,11,40,Blue-collar (build/repair/prod/transport),Married,1,0
45,12,40,Sales,Married,1,0
45,16,32,Office & Admin,Divorced,0,1
25,14,55,Management/Business/Finance,Never married,1,1
23,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
46,14,40,Healthcare,Widowed,1,0
62,14,40,Blue-collar (build/repair/prod/transport),Widowed,0,1
56,12,40,Management/Business/Finance,Married,1,1
57,16,50,Computing/Engineering/Science,Married,1,1
47,16,40,Blue-collar (build/repair/prod/transport),Married,1,1
45,0,50,Management/Business/Finance,Married,1,0
64,14,50,Blue-collar (build/repair/prod/transport),Married,1,1
56,16,40,Management/Business/Finance,Married,1,1
26,12,40,Sales,Never married,1,0
46,19,40,Computing/Engineering/Science,Never married,1,1
52,16,40,Blue-collar (build/repair/prod/transport),Divorced,0,0
20,0,40,Blue-collar (build/repair/prod/transport),Never married,1,0
43,21,40,Healthcare,Married,0,1
51,14,40,Sales,Married,1,1
37,14,45,Office & Admin,Married,1,0
63,16,40,Office & Admin,Never married,0,1
48,13,35,Office & Admin,Never married,0,0
47,12,40,Office & Admin,Divorced,0,0
40,12,20,Education/Legal/Arts/Social,Never married,0,0
27,14,24,Sales,Married,0,0
29,14,35,Sales,Married,0,0
58,14,40,Blue-collar (build/repair/prod/transport),Married,1,0
41,16,40,Education/Legal/Arts/Social,Married,0,1
57,16,72,Healthcare,Divorced,0,0
40,12,43,Sales,Divorced,0,1
20,13,8,Sales,Never married,0,0
51,18,60,Management/Business/Finance,Separated,1,1
30,16,40,Management/Business/Finance,Married,0,1
45,16,40,Computing/Engineering/Science,Married,0,1
71,14,15,Computing/Engineering/Science,Married,1,0
39,16,40,Management/Business/Finance,Married,0,1
41,9,40,Blue-collar (build/repair/prod/transport),Married,0,0
26,14,50,Healthcare,Never married,0,0
17,11,2,Education/Legal/Arts/Social,Never married,0,0
51,19,40,Education/Legal/Arts/Social,Married,1,1
26,10,40,Blue-collar (build/repair/prod/transport),Never married,1,0
62,16,35,Education/Legal/Arts/Social,Married,0,1
26,12,60,Office & Admin,Married,0,0
20,12,28,Office & Admin,Never married,1,0
25,16,15,Education/Legal/Arts/Social,Married,0,0
38,14,60,Management/Business/Finance,Married,1,1
65,13,40,Service (food/clean/care/protective),Divorced,1,1
58,18,6,Blue-collar (build/repair/prod/transport),Married,0,1
31,12,40,Blue-collar (build/repair/prod/transport),Separated,1,1
60,14,35,Education/Legal/Arts/Social,Married,1,0
27,14,40,Blue-collar (build/repair/prod/transport),Married,1,0
64,14,20,Healthcare,Married,0,1
59,12,66,Blue-collar (build/repair/prod/transport),Married,1,1
29,16,30,Management/Business/Finance,Never married,1,0
61,16,40,Management/Business/Finance,Married,1,1
49,16,40,Education/Legal/Arts/Social,Never married,1,1
32,14,48,Sales,Married,1,1
25,16,55,Management/Business/Finance,Never married,1,1
71,18,30,Education/Legal/Arts/Social,Married,0,1
44,16,40,Computing/Engineering/Science,Divorced,1,1
23,14,35,Healthcare,Never married,0,1
31,14,30,Healthcare,Married,0,0
33,14,38,Office & Admin,Married,0,1
32,18,10,Education/Legal/Arts/Social,Married,0,0
37,16,25,Sales,Married,1,0
52,14,40,Computing/Engineering/Science,Never married,1,0
54,14,50,Office & Admin,Married,0,1
34,18,40,Education/Legal/Arts/Social,Never married,1,1
62,14,30,Education/Legal/Arts/Social,Married,0,0
37,12,15,Blue-collar (build/repair/prod/transport),Never married,1,0
37,18,40,Computing/Engineering/Science,Married,1,1
50,18,40,Management/Business/Finance,Married,1,1
55,19,70,Education/Legal/Arts/Social,Married,1,1
61,12,40,Blue-collar (build/repair/prod/transport),Widowed,0,0
20,12,30,Service (food/clean/care/protective),Never married,1,0
21,14,24,Blue-collar (build/repair/prod/transport),Never married,1,0
59,16,40,Management/Business/Finance,Divorced,0,1
53,16,20,Computing/Engineering/Science,Never married,0,1
40,18,40,Management/Business/Finance,Married,0,1
42,13,99,Blue-collar (build/repair/prod/transport),Divorced,1,0
52,14,60,Blue-collar (build/repair/prod/transport),Never married,1,0
48,16,40,Management/Business/Finance,Married,1,1
61,12,30,Office & Admin,Married,1,0
42,21,45,Healthcare,Married,1,1
19,12,30,Blue-collar (build/repair/prod/transport),Never married,1,0
23,14,20,Blue-collar (build/repair/prod/transport),Never married,1,0
55,18,55,Education/Legal/Arts/Social,Married,1,1
45,16,50,Sales,Never married,1,1
66,12,50,Management/Business/Finance,Married,1,0
28,13,40,Blue-collar (build/repair/prod/transport),Married,1,1
27,16,40,Education/Legal/Arts/Social,Never married,0,0
60,16,30,Education/Legal/Arts/Social,Married,0,0
25,14,35,Blue-collar (build/repair/prod/transport),Married,1,0
23,16,40,Management/Business/Finance,Never married,1,0
19,14,18,Service (food/clean/care/protective),Never married,1,0
80,18,25,Education/Legal/Arts/Social,Married,1,0
44,14,20,Education/Legal/Arts/Social,Married,0,0
60,16,24,Healthcare,Married,0,1
42,16,15,Education/Legal/Arts/Social,Never married,0,1
29,18,40,Management/Business/Finance,Married,0,1
27,14,40,Service (food/clean/care/protective),Never married,0,0
27,14,50,Management/Business/Finance,Married,0,0
35,12,40,Service (food/clean/care/protective),Married,1,1
37,12,40,Healthcare,Married,0,0
62,14,40,Sales,Married,1,1
56,14,70,Blue-collar (build/repair/prod/transport),Never married,1,1
71,18,50,Management/Business/Finance,Married,1,1
62,14,40,Service (food/clean/care/protective),Married,1,0
30,12,32,Service (food/clean/care/protective),Divorced,0,0
44,16,40,Office & Admin,Never married,0,0
47,14,8,Service (food/clean/care/protective),Married,1,0
69,16,4,Healthcare,Married,0,1
57,12,61,Sales,Married,0,0
54,13,36,Office & Admin,Never married,0,0
49,13,50,Service (food/clean/care/protective),Never married,0,0
62,11,40,Blue-collar (build/repair/prod/transport),Married,1,0
22,14,20,Service (food/clean/care/protective),Never married,0,0
31,18,40,Healthcare,Married,0,1
60,14,15,Service (food/clean/care/protective),Married,0,0
57,14,40,Office & Admin,Married,0,1
46,10,40,Service (food/clean/care/protective),Married,1,0
64,16,16,Service (food/clean/care/protective),Widowed,0,0
37,9,35,Blue-collar (build/repair/prod/transport),Never married,1,0
64,18,50,Management/Business/Finance,Married,1,1
47,14,40,Blue-collar (build/repair/prod/transport),Divorced,0,1
25,12,40,Sales,Never married,1,0
60,18,40,Management/Business/Finance,Married,1,1
38,12,80,Service (food/clean/care/protective),Married,1,1
21,14,8,Blue-collar (build/repair/prod/transport),Never married,1,0
23,14,20,Office & Admin,Never married,1,0
56,16,50,Management/Business/Finance,Married,0,1
31,18,40,Computing/Engineering/Science,Married,1,1
28,16,10,Education/Legal/Arts/Social,Never married,0,0
28,16,40,Management/Business/Finance,Never married,1,0
40,9,60,Blue-collar (build/repair/prod/transport),Married,1,0
53,12,40,Blue-collar (build/repair/prod/transport),Married,1,1
53,12,40,Management/Business/Finance,Married,1,0
62,0,40,Blue-collar (build/repair/prod/transport),Married,1,0
58,12,45,Management/Business/Finance,Married,1,1
17,10,20,Sales,Never married,0,0
43,16,40,Computing/Engineering/Science,Never married,0,1
35,14,5,Service (food/clean/care/protective),Married,0,0
55,18,50,Computing/Engineering/Science,Divorced,0,1
54,0,40,Blue-collar (build/repair/prod/transport),Married,1,0
45,16,40,Management/Business/Finance,Married,0,1
48,12,55,Service (food/clean/care/protective),Married,1,1
21,12,40,Service (food/clean/care/protective),Never married,0,0
47,12,63,Service (food/clean/care/protective),Divorced,0,0
40,16,40,Computing/Engineering/Science,Married,1,1
50,16,40,Healthcare,Divorced,1,0
32,16,80,Healthcare,Married,0,0
40,18,50,Management/Business/Finance,Married,0,1
25,14,36,Service (food/clean/care/protective),Never married,0,0
38,9,40,Blue-collar (build/repair/prod/transport),Never married,1,0
39,16,24,Blue-collar (build/repair/prod/transport),Married,1,0
60,18,50,Education/Legal/Arts/Social,Married,1,1
55,12,40,Office & Admin,Married,0,1
63,19,45,Management/Business/Finance,Married,0,1
36,12,35,Blue-collar (build/repair/prod/transport),Married,0,0
33,13,40,Blue-collar (build/repair/prod/transport),Married,1,0
19,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
42,16,40,Management/Business/Finance,Never married,0,1
28,14,20,Service (food/clean/care/protective),Never married,0,0
66,16,2,Education/Legal/Arts/Social,Married,0,0
51,0,60,Healthcare,Divorced,0,0
51,16,40,Management/Business/Finance,Married,0,1
52,13,50,Office & Admin,Never married,0,0
25,18,40,Management/Business/Finance,Married,0,0
62,10,40,Service (food/clean/care/protective),Married,1,0
64,16,3,Healthcare,Married,0,1
62,14,40,Blue-collar (build/repair/prod/transport),Married,1,1
70,19,45,Management/Business/Finance,Married,1,1
55,12,35,Service (food/clean/care/protective),Married,0,0
62,16,14,Education/Legal/Arts/Social,Married,1,0
57,12,40,Service (food/clean/care/protective),Married,0,0
46,16,40,Education/Legal/Arts/Social,Married,0,1
22,16,40,Sales,Never married,1,0
61,6,40,Service (food/clean/care/protective),Divorced,0,0
27,14,40,Blue-collar (build/repair/prod/transport),Divorced,1,1
62,12,40,Sales,Married,0,0
60,9,50,Blue-collar (build/repair/prod/transport),Divorced,1,0
26,18,40,Education/Legal/Arts/Social,Married,0,0
59,13,40,Office & Admin,Married,0,1
48,18,40,Healthcare,Never married,1,1
46,18,50,Education/Legal/Arts/Social,Divorced,1,1
54,14,60,Blue-collar (build/repair/prod/transport),Married,1,1
46,14,50,Service (food/clean/care/protective),Married,0,0
58,14,40,Education/Legal/Arts/Social,Married,0,0
18,13,15,Management/Business/Finance,Never married,1,0
42,0,40,Service (food/clean/care/protective),Married,0,0
25,14,50,Healthcare,Never married,0,1
32,14,40,Office & Admin,Never married,0,0
71,21,60,Management/Business/Finance,Divorced,0,1
29,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
46,16,40,Service (food/clean/care/protective),Divorced,0,1
39,16,50,Education/Legal/Arts/Social,Married,0,1
57,12,40,Education/Legal/Arts/Social,Married,0,1
45,12,30,Sales,Married,0,0
29,13,43,Management/Business/Finance,Married,0,1
30,16,40,Education/Legal/Arts/Social,Married,0,0
55,16,38,Education/Legal/Arts/Social,Widowed,0,0
36,14,5,Sales,Married,1,0
77,21,5,Computing/Engineering/Science,Married,1,1
33,12,50,Sales,Never married,1,0
23,16,40,Management/Business/Finance,Never married,1,0
35,16,60,Management/Business/Finance,Married,1,1
60,18,40,Education/Legal/Arts/Social,Married,1,1
59,14,50,Computing/Engineering/Science,Married,1,1
58,14,40,Management/Business/Finance,Married,1,1
44,16,16,Healthcare,Married,0,0
32,13,40,Office & Admin,Divorced,0,0
56,14,40,Education/Legal/Arts/Social,Married,0,0
51,18,37,Office & Admin,Divorced,0,1
39,19,50,Healthcare,Married,0,1
25,12,40,Service (food/clean/care/protective),Separated,1,0
44,21,50,Management/Business/Finance,Married,1,0
35,21,40,Computing/Engineering/Science,Married,1,1
32,12,40,Office & Admin,Married,0,0
57,7,40,Blue-collar (build/repair/prod/transport),Married,1,1
27,13,30,Sales,Never married,1,0
26,16,40,Education/Legal/Arts/Social,Never married,0,0
31,16,30,Education/Legal/Arts/Social,Married,0,1
64,6,40,Blue-collar (build/repair/prod/transport),Married,1,0
53,14,40,Computing/Engineering/Science,Married,0,1
67,16,50,Sales,Married,0,1
19,14,40,Service (food/clean/care/protective),Never married,1,0
22,16,60,Management/Business/Finance,Never married,0,0
36,16,40,Sales,Never married,1,1
46,14,40,Office & Admin,Married,0,1
59,14,40,Blue-collar (build/repair/prod/transport),Married,1,0
44,9,20,Blue-collar (build/repair/prod/transport),Married,0,0
53,9,40,Blue-collar (build/repair/prod/transport),Separated,1,0
57,18,20,Blue-collar (build/repair/prod/transport),Married,1,0
53,12,40,Office & Admin,Widowed,0,0
52,16,30,Education/Legal/Arts/Social,Never married,1,0
62,11,40,Healthcare,Married,0,0
44,6,12,Service (food/clean/care/protective),Separated,0,0
34,18,40,Computing/Engineering/Science,Never married,1,1
57,6,40,Service (food/clean/care/protective),Widowed,1,0
29,16,48,Management/Business/Finance,Never married,0,1
58,16,43,Management/Business/Finance,Married,1,1
27,16,45,Computing/Engineering/Science,Never married,1,1
24,16,42,Education/Legal/Arts/Social,Never married,0,0
44,14,45,Service (food/clean/care/protective),Married,1,1
46,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
81,19,35,Service (food/clean/care/protective),Married,1,0
69,18,5,Education/Legal/Arts/Social,Married,0,0
56,16,56,Computing/Engineering/Science,Married,0,0
47,12,40,Office & Admin,Married,0,0
65,16,33,Education/Legal/Arts/Social,Married,0,0
43,11,40,Service (food/clean/care/protective),Married,1,1
24,14,16,Sales,Never married,1,0
42,12,40,Management/Business/Finance,Married,1,0
37,12,60,Blue-collar (build/repair/prod/transport),Married,1,1
49,0,40,Service (food/clean/care/protective),Married,1,1
42,12,52,Management/Business/Finance,Married,1,1
45,12,40,Office & Admin,Married,0,0
18,14,24,Service (food/clean/care/protective),Never married,0,0
54,12,50,Service (food/clean/care/protective),Married,1,0
33,14,40,Healthcare,Married,1,1
40,14,40,Office & Admin,Married,0,0
19,11,50,Sales,Never married,0,0
34,14,40,Management/Business/Finance,Married,0,1
42,0,80,Management/Business/Finance,Married,1,0
50,16,40,Management/Business/Finance,Divorced,1,1
47,16,40,Management/Business/Finance,Married,0,1
55,16,40,Blue-collar (build/repair/prod/transport),Married,1,1
51,12,40,Service (food/clean/care/protective),Widowed,0,0
35,13,40,Management/Business/Finance,Married,0,1
32,14,40,Blue-collar (build/repair/prod/transport),Never married,1,0
26,16,36,Healthcare,Never married,0,1
21,12,24,Sales,Never married,1,0
18,12,12,Sales,Never married,0,0
33,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
47,10,40,Blue-collar (build/repair/prod/transport),Married,1,0
30,18,40,Computing/Engineering/Science,Never married,1,1
